Q Value,Bot1 Result,Bot1 Position,Bot2 Result,Bot2 Position,Bot3 Result,Bot3 Position,Bot4 Result,Bot4 Position,Button Position,Fire Position
0.1,Success,"(10, 18)",Success,"(10, 18)",Success,"(10, 18)",Success,"(10, 18)","(11, 5)","(17, 32)"
0.1,Success,"(33, 21)",Success,"(33, 21)",Failure,"(33, 21)",Success,"(33, 21)","(19, 16)","(34, 18)"
0.1,Success,"(11, 34)",Success,"(11, 34)",Success,"(11, 34)",Success,"(11, 34)","(2, 27)","(2, 22)"
0.1,Success,"(27, 19)",Success,"(27, 19)",Success,"(27, 19)",Success,"(27, 19)","(33, 22)","(8, 32)"
0.1,Failure,"(33, 31)",Success,"(33, 31)",Failure,"(33, 31)",Success,"(33, 31)","(22, 22)","(20, 16)"
0.1,Success,"(13, 1)",Success,"(13, 1)",Success,"(13, 1)",Success,"(13, 1)","(28, 37)","(7, 24)"
0.1,Success,"(1, 37)",Success,"(1, 37)",Success,"(1, 37)",Success,"(1, 37)","(14, 22)","(7, 36)"
0.1,Success,"(15, 34)",Success,"(15, 34)",Success,"(15, 34)",Success,"(15, 34)","(8, 25)","(13, 28)"
0.1,Success,"(2, 33)",Success,"(2, 33)",Success,"(2, 33)",Success,"(2, 33)","(15, 30)","(6, 5)"
0.1,Success,"(14, 12)",Success,"(14, 12)",Success,"(14, 12)",Success,"(14, 12)","(30, 2)","(8, 21)"
0.1,Success,"(35, 19)",Success,"(35, 19)",Success,"(35, 19)",Success,"(35, 19)","(3, 8)","(24, 23)"
0.1,Success,"(15, 32)",Success,"(15, 32)",Success,"(15, 32)",Success,"(15, 32)","(31, 24)","(33, 33)"
0.1,Success,"(36, 5)",Success,"(36, 5)",Success,"(36, 5)",Success,"(36, 5)","(38, 6)","(36, 25)"
0.1,Success,"(16, 34)",Success,"(16, 34)",Failure,"(16, 34)",Failure,"(16, 34)","(32, 23)","(9, 13)"
0.1,Success,"(14, 36)",Success,"(14, 36)",Success,"(14, 36)",Success,"(14, 36)","(36, 26)","(14, 1)"
0.1,Success,"(38, 21)",Success,"(38, 21)",Success,"(38, 21)",Success,"(38, 21)","(31, 26)","(27, 38)"
0.1,Success,"(33, 28)",Success,"(33, 28)",Success,"(33, 28)",Success,"(33, 28)","(17, 38)","(32, 21)"
0.2,Failure,"(36, 3)",Success,"(36, 3)",Success,"(36, 3)",Success,"(36, 3)","(20, 12)","(12, 16)"
